284,,,,,,,
kuchukua,,,,,,,
kuzungumza,,,,,,,
kuambia,,,,,,,
,,,,,,,
kufikiria,,,,,,,
"kurusha, kutupa",,,,,,,
"kuguza, kushika",,,,,,,
kufundisha ,,,,,,,
kusafiri,,,,,,,
kutibu ,,,,,,,
kujaribu,,,,,,,
kugeuza,,,,,,,
kuelewa,,,,,,,
kutumia,,,,,,,
kutembelea,,,,,,,
kungoja,kusubiri,,,,,,
kutaka,kuhitaji,,,,,,
kutembea,,,,,,,
kutazama,saa,,,,,,
kushinda,,,,,,,
kujiuliza,,,,,,,
kuandika,,,,,,,
kukanda,,,,,,,
,,,,,,,
kukaanga,,,,,,,
kukanda,,,,,,,
kupiga pasi,chuma,kusuluhisha (iron out the difference),,,,,
kuchoma,kuunguza,,,,,,
