rudisha,,,,,
dhihirisha,,,,,
panda,panda,ongedheka,,,
kimbiya,,,,,
tuma,nusuru,chuma,,,
nena,,,,,
vona,,,,,
dhanya,,,,,
peka,chuma,peka,peka nguvo,peka salamu,peka sen'ti
,,,,,
avanya,hisa,,,,
bika,,,,,
vonyesha,,,,,
imba,,,,,
keti,,,,,
yala,iyala,,,,
cheledha,,,,,
teka,tabasamu,,,,
chemuwa,,,,,
sauti,,,,,
nena,,,,,
simama,nyuka,,,,
anda,,,,,
nena,,,,,
durusu,,,,,
fanikiwa,,,,,
pendekedha,,,,,
,,,,,
,,,,,
toka salama,,,,,
pea,piga upeo,,,,
tukuwa,twaa,,,,
ndanena,dhungumudha,nena,,,
ambiya,,,,,
,,,,,
fikiriya,fikiriya,dhani,,,
hora,uusa,mbiria,,,
shika,dara,,,,
funza,fundisha,,,,
safiri,,,,,
tibu,,,,,
jaribu,,,,,
dhinga,geudha,,,,
fahamu,elewa,fahamu,tanabahi,,
chumiya,,,,,
tembeleya,,,,,
ngoya,ngoja,,,,
taka,halagao,,,,
tembeya,,,,,
enga,,,,,
shinda,,,,,
ivulidha,,,,,
andika,,,,,
kanda,,,,,
chiya tabaki,chapachi,,,,
kaanga,,,,,
kanda,,,,,
bika pasi,,,,,
choma,ungudha,,,,
kokochedha,,,,,
vuma,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Vakwa,,,,,
