1191,,,
akaunti ,,,
kujidai,tenda,fanya,
,,,
kundi,pote,kikundi,
ukuwaji,,,
ongoza,muongozo,kulekeza,
gani,bunduki,,
nyele,,,
nyundo,,,
mkono,,,
forodha,bandari,,
,,,
kofiya,,,
tukiya,,,
kitwa,,,
masikizi,kusikia,,
moyo,,,
joto,pasha moto,,
saidiya,,,
historia,,,
shimo,,,
ndoana,,,
tamaa,matarajio,,
pembe,honi (ya gari),,
farasi,,,
hospitali,spitali,siptali,
saa,,,
nyumba,,,
,,,
barafu,,,
wazo,,,
kitambulisho,,,
,,,
ongeza,,,
kiwanda,,,
wino,,,
mdudu,,,
ala,chombo,,
bima,,,
riba,,,
uvumbuzi,uzushi,,
chuma,,,
kisiwa,,,
,,,
kito,,,
unga,unganisha,,
safari,,,
hukumu,hakimu,,
maji ya tamu ,maji ya mzinga,,
ruka,,,
buli,,,
ufunguo,,,
piga teke,,,
busu,shumu,,
goti,,,
kisu,,,
fundo,,,
ujuzi,,,
ardhi,,,
lugha,,,
teka,,,
ongoza,,,
jani,,,
kujifunza,kusoma,,
ngozi,,,
mguu,guu,,
baruwa,,,
kiwango,,,
maktaba,,,
inuwa,,,
muangaza,,,
mpaka,ukingo,,
mstari,,,
kitani,,,
mdomo,,,
majimaji,,,
orodha,,,
,,,
sura,inavyoonekana,onekana ,kukaa kama
hasara,,,
mahaba,kupenda,pendo,
tini,,,
mashini,mtambo,,
mwanamume,mtu,,
meneja ,,,
ramani,,,
alama,tia alama,,
markiti ,sokoni ,,
umma,,,
kiribiti,kibiriti,,
chakula,mlo,,
pima,kipimo,,
nyama,,,
mkutano,,,
fahamu ,,,
chuma,,,
kati,,,
maziwa,,,
akili,fahamu,,
mgodi,,,
dakika,,,
ukungu,,,
"pesa, senti",,,
tumbiri,,,
mwezi,,,
mwezi,,,
asubuhi ,,,
mama,,,
,,,
mlima,,,
kanwa,,,
songeya,songa,gura,hama
misuli,,,
mziki,nyimbo,,
msumari,,,
jina,,,
twaifa,taifa,,
shingo,,,
hitaji,mahitaji,haja,
sindano,,,
mshipa,,,
nyavu,,,
habari ,taarifa,,
usiku,,,
fujo,kele ,,
pua,,,
noti ,,,
namba,,,
njugu,,,
peleleza,kudadisi,,
teremsha bei,,,
ofisi,,,
mafuta,,,
oparesheni,operesheni,kupasuliwa,presheni
wazo,maoni,,
chungwa,,,
amri,agizo,mpango,
shirika,,,
chombo,,,
tanuri,,,
mwenyewe,,,
ukurasa,,,
maumivu,,,
rangi,,,
karatasi ,,,
kifurushi,mzigo,,
sehemu ya,,,
kubandika ,,,
malipo,,,
amani,,,
lulu,,,
kalamu ,,,
penseli,,,
mtu,,,
picha,,,
nguruwe,,,
pini ,,,
bomba,paipu,nzumari,
pahali,mahali,,
ndege,,,
mti,,,
sahani,,,
teza,mtezo,,
raha,furaha,,
plau,,,
mfuko,,,
lekeza,n'tha,,
sumu,,,
suguwa,ng'arisha,,
mtukuzi,hamali,,
cheo,,,
chungu,,,
kiazi,,,
kiazi,,,
poda,unga,,
nguvu,,,
bei,,,
chapisha,,,
gereza,,,
ndiya,namna,,
zalisha,mazao,,
faida,,,
mali ,,,
,,,
lalamika,malalamishi,,
vuta,buruta,,
pampu,,,
adhabu ,,,
madhumuni,sababu,lengo,
sukuma,,,
enye thamani ,,,
swali,suali,,
reli ,,,
mvua,,,
kiwango,,,
panya,,,
"kiwango, kiasi",,,
miale,,,
athari  jibu,,,
kusoma,,,
sababu,,,
risiti,,,
rekodi,,,
juta,majuto,,
uhusiyano,,,
dini,,,
muwakilishi,,,
omba,taka,,
hishima,,,
pumzika,,,
thunza,tuzo,,
mahadhi,,,
mtele,wali,,
pete,,,
mto,,,
ndiya,barabara,,
fimbo,,,
sukuma,sokota,,
paa,,,
chumba,,,
mzizi,,,
suguwa,futa,,
tawala ,,,
kimbiya,,,
tanga,,,
chumvi,,,
mtanga,,,
yaquti/yakuti,,,
mizani,,,
skuli,,,
sayansi,,,
makasi,,,
skuruu,,,
bahari,,,
kiti,,,
karani,katibu,sekretari,
mbegu,,,
utaguzi,,,
binafsi,,,
maana,hisia,,
mtumishi,,,
,,,
kivuli,,,
sukasuka,,,
aibu,izara,,
kondoo,,,
rafu,,,
meli,,,
shati,,,
kitshtuko,,,
kiatu,,,
upande,,,
ishara,dalili,,
hariri,,,
fedha,fedhwa,,
fedha,fedhwa,,
ndugu,dada,,
kipimo,ukubwa,,
ngozi,,,
skati,,,
mbingu,anga,,
lala,usingizi,,
ponyoka,teleza,,
mteremko,,,
vunda,,,
nusa,nuka,harufu,
tabasamu,,,
moshi,,,
nyoka,,,
chemuwa,,,
thaluji,theluji,,
sabuni,,,
jamii,,,
soksi,,,
mtoto wa kiume,,,
nyimbo ,,,
tagua,dondowa ,,
sauti,mlio,,
supu,,,
nafasi,,,
,,,
sponji,,,
kijiko,,,
chemchemi,,,
mraba,,,
jukwaa,,,
"muhuri, stampu",,,
nyota,,,
anza. mwanzo,,,
kauli,,,
stesheni,,,
mvuke,,,
chuma ,,,
shina,,,
hatuwa,,,
kijiti,kifimbo,,
shona,,,
,,,
tumbo,utumbo,,
jiwe,,,
sangaa,kituo cha,,
duka,,,
hadithi ,,,
barabara,,,
nyoosha,,,
muundo,,,
kitu,,,
sukari,,,
pendekezo,,,
,,,
juwa,,,
unga mkono,,,
,,,
ogeleya,,,
mfumo,,,
meza,,,
mkiya,,,
zungumza,sema,,
onda ,ladha ,,
ushuru,,,
kufundisha,,,
tabiya,twabiya,,
jaribu,,,
,,,
kitu,,,
wazo,,,
uzi,,,
koo,,,
kidole cha gumba,,,
mngurumo,,,
tikiti,,,
saa,wakati,,
mkebe,,,
kidole cha mguu,,,
ulimi,,,
jino,,,
juu,,,
shika,dara,,
mji,,,
biashara,,,
treni,,,
usafiri,,,
trei,siniya,,
mti,,,
hila,hadaa,,
tabu,shida,,
suruwali,,,
pinduza,geuza,,
zugusha,,,
mwamvuli,,,
,,,
tumiya,matumizi ya,,
thamani,,,
aya,,,
chombo,,,
mandhari,,,
sauti,,,
tembeya,,,
ukuta,kiambaza,,
vita,,,
osha,,,
uchafu,taka,,
saa,,,
maji,,,
wimbi,,,
n'ta,,,
ndia,,,
hali ya hewa,,,
wiki,,,
uzito,uzani,,
gurudumu,,,
kikoto,,,
piga mbinja,firimbi,,
upepo,,,
dirisha,,,
mvinyo,,,
ubawa,,,
,,,
waya,,,
mwanamke,,,
ubao,mbao,kuni,
sufi,pamba,,
neno,,,
kazi,,,
minyoo,,,
kidonda,,,
maandishi,khati ,,
mwaka,,,
,,,
ijumaa,,,
achari,,,
achari ya kamba,,,
achari ya maembe,,,
achari ya mbirimbi,,,
achari ya ndimu,,,
achari ya rojo,,,
adhuhuri,,,
akhera,,,
alkhamisi,alhamisi,,
ambari,,,
asubuhi,,,
azma,hirizi,,
baaswili,baasili,,
bajia za dengu,,,
bajia za kunde,,,
bakora,,,
balaghamu,,,
bangili,,,
banka,,,
bembeya,,,
bibi harusi,bi harusi,,
biriyani,,,
boshori,,,
bubu,,,
buibui,,,
buibui ,,,
bwana harusi,,,
Chai,,,
Chai ya maziwa,,,
Chai ya rangi,,,
chanja,,,
chanjo,,,
chano,,,
chatini,,,
chipsi,,,
choo cha chini,cha kihindi,,
choo cha kuketi,,,
chooni,,,
Chungu,,,
daku,,,
dawa,,,
dege,,,
dege,,,
dobi,,,
dua,,,
eksidenti,ajali,,
feni,,,
fingo,,,
firimbi,,,
fitna,,,
foronya,,,
friji,,,
fua,,,
fungate,,,
futari,,,
fuvu,,,
garabu ,,,
godoro,,,
goti,,,
gramu,,,
hal ambar,,,
hal udi,,,
hamali,,,
harara,,,
hijab,,,
hijabu ,,,
homa,,,
ibilisi,,,
eo ,,,
ishai,,,
Jamvi la miyaa,minyaa,,
jelebi,zalibiya,,
jifya,,,
jinamizi,,,
jini,,,
jipu,,,
jiwe,,,
johari,,,
jongoo,,,
jumamosi,ijumamosi,,
jumanne,,,
jumapili,,,
jumatano,,,
jumatatu,,,
juzuu,,,
kababu,,,
kabati,,,
kabila,,,
kaburi,,,
kahawa,,,
kahawa tungu,,,
kaimati,,,
kamasi,,,
kamba ,,,
kamba wa kukausha,,,
kamisi,,,
kamusi,,,
kandirinya,,,
kanga,,,
kaniki,,,
karo ,,,
kasha,,,
katai,,,
katlesi,,,
Kawa la ukindu,,,
kengewa,,,
kesho,,,
kesho kutwa,,,
Kiana ,,,
kiasi,,,
kibao,,,
kibibi,,,
kiboko,,,
kiboko ,,,
kifaa,,,
kifafa,,,
Kifimbo cha chapati,,,
kifua kikuu,,,
Kifumbu cha MLEMBWE ,,,
kifungo,,,
kifuvu,,,
kigongo,,,
kijiti,,,
Kikaango ,,,
"Kikapu cha miyaa, kikapu cha minyaa",,,
kikohozi,,,
kikoto,,,
kikuba,,,
kikuku,,,
kilo,,,
kimanda,,,
Kinu,,,
kipanga,,,
Kipepeo cha ukindu,,,
kipindi ,,,
kipini,,,
kipuli/herini,,,
kirinda,,,
kishaufu,,,
kisima,,,
kisutu,,,
Kiswala cha ukindu,,,
kitanda cha pilipili,,,
kitasa,,,
kiti,,,
kitotoro,,,
kito,,,
kitumbo n'nge,,,
kitumbuwa,,,
kiunguliya ,,,
kizazi,uzao,,
kizingiti,,,
kofiya,,,
kohozi,,,
koja,,,
koma,,,
kombe,,,
kompyuta,,,
konokono,,,
kunde ,,,
kunde za sukari,,,
kuni,,,
kurabu,,,
kuzimu,,,
lakti,,,
leo,,,
m'ba,,,
mabuyu,,,
mabuyu ya rojo,,,
madovuo,,,
maembe ya nazi,,,
mafusho,,,
mafuta mazuri,,,
mafuwa ,,,
magharibi,,,
mahamri,,,
maharagwe ya nazi,,,
mairungi,,,
majimbi,,,
malaika,,,
marashi,,,
marashi jabal,,,
marjani,,,
matanga,,,
matapishi,,,
mate,,,
mayai ,,,
mbaazi za nazi,,,
mbalanga,,,
kifimbo cha kusukumia chapati,,,
mbinja,,,
mbung'o,,,
mburukenge,,,
Mbuzi ya kukuniya nazi,,,
buibui,,,
mfungo mosi,,,
mfungo nane,,,
mfungo nne,,,
mfungo pili,,,
mfungo saba,,,
mfungo sita,,,
mfungo tano,,,
mfungo tatu,,,
mfungo tisa,,,
mhunzi,,,
mita,,,
miwani,,,
mjiko,,,
mjusi,mjusi kafiri,,
mkate,,,
mkate wa kusukuma/chapati,,,
mkate wa maji,,,
mkate wa mayai,,,
mkate wa nazi,,,
mkate wa nyama,,,
mkate wa pembe,,,
mkate wa sinia,,,
mkufu,,,
mlango,,,
mrashi,,,
mrashi,,,
mseto,,,
mshakiki,,,
mshipa,,,
mshona nguo,,,
mshumaa,,,
msongaji ,,,
mswahafu,,,
mtaro,,,
mtego,,,
mtelezo,,,
mthanga,,,
Mthi ,,,
mti ,,,
mtondo,,,
mtondogoo,,,
mtuzi,,,
mtuzi wa kamba,,,
mtuzi wa papa,,,
mtuzi wa tukutuku,,,
mvungu,,,
mwalimu,,,
mwalimu mkuu,,,
Mwana wa kupanga ,,,
mwanafunzi,,,
mwanamwali,,,
mwanandani,,,
mzimu,,,
naibu wa mwalimu mkuu,,,
nairuz,mwaka,,
nan,,,
ndiwa,,,
ndiwa manga,,,
ndizi za mchanyato,,,
ndoto,,,
ndovu,,,
ngano,,,
njuga,,,
nusu kilo,robo kilo,,
nyoka,,,
nyongo,,,
nyute,,,
paa,,,
paa,,,
paka,,,
parare,,,
pazia,,,
pele,,,
pengo,,,
pepo,,,
pepo,,,
pete,,,
pilau,,,
pishi,,,
pojo za mauwa,,,
printa,,,
punga,,,
pungwa,,,
puo la mfungo tano,,,
rajabu,,,
ramadhani,,,
ratili,,,
redio,,,
riahi,,,
rimoti,,,
ruqya ,,,
saa,,,
saa  kumi na mbilil,,,
saa kumi,,,
saa kumi na moja,,,
saa mbili,,,
saa moja,,,
saa nane,,,
saa nne,,,
saa saba,,,
saa sita,,,
saa tano,,,
saa tatu,,,
saa tisa ,,,
saa ya ukutani,,,
safisha,,,
saluni,,,
samaki wa kukaanga,,,
samaki wa kupaka,,,
sambusa,,,
sanda,,,
selotep,,,
shaabani,,,
shaba,,,
shango,,,
shawarma,,,
shawarma chips,,,
shaza,,,
shehe,shekhe,,
sherehe ya mwaka/nairuz,,,
shetwani,,,
shikio,,,
shimo la choo,,,
Sigiri,sigri,,
sima,,,
simba,,,
simu,,,
soda,,,
somo ,,,
somo,kungwi,,
sonara,,,
spika,,,
spika ,,,
sungura,,,
swichi,,,
taifa,,,
tail,marumaru,,
tangalizi,,,
tango,,,
tarehe,,,
tarehe mosi,tarehe pili,tarehe tatu,
tego,,,
tikka,,,
tivi,,,
tongo,matongo,,
TUGUU ,,,
tuwi,,,
ubani,,,
ubani mweupe,,,
ubani wa kutafuna,,,
ubani wa moto,,,
udi,,,
udi wa mawardi,,,
ambari,,,
udil karaha,,,
UFIJO,,,
ujusi ,,,
kijusi,,,
ukambaa,,,
ukanda,,,
ukoo,,,
ukuta,,,
ukwaju,,,
unga wa mabuyu,,,
upatu,,,
Upawa,,,
ushuzi,,,
usukani,,,
Uteo,,,
uvumba,,,
viazi vya karai,viazi ya garai,,
viazi vya kuvurujuwa,,,
viazi vya nazi,,,
viazi vya rojo,,,
viazi vya tamu,,,
vijiwe,pimpol,chunusi,
vunda jungu ,,,
vuo,,,
waya,,,
wiki hii,,,
wiki ijayo,,,
wiki ilopita,,,
yadi,,,
yai la kuchemsha,,,
yaya,mfanyakazi wa nyumbani,,
yeyusha ,,,
zabadi,,,
zabarjudi,,,
zamia lulu,,,
zinduna,,,
zingizi,,,
zongo,,,
zunguo,,,
zunguo la mji,,,
,,,
tangawizi,,,
