Ah Mwanamme yule anawivu na mkewe kwelikweli. Yule mwanamke ana wivu sana na mumewe.,"Wivu wasikia, waona au wafanyaje?",Wivu kuhisi.                                                                                                                       ,Ana wivu.,Huwezi kusema naskia wivu?,Ana wivu. Ana wivu. Yule Mwanamme ana wivu na mkewe au yule mwanamke ana wivu na mumewe.,Huwezi kusema naskia wivu?,Nasikia wivu mimi na yule.,Aaa. Kuhisi wivu.,We wahisi wivu? Wivu wauhisi?,Kwa hivyo wewe waskia wivu?,Naskia wivu.Nneno ambalo latumika. Kawaida,Wivu ni hisia.,,,,,
Shani yuwajaribu kuvua,,,,,,,,,,,,,,,,,
Nenda kulipa deni,,,,,,,,,,,,,,,,,
Wale watu wamevurujuliwa wote kwenye ajali barabarani,,,,,,,,,,,,,,,,,
Chakula hichi chadhuru watu. ,,,,,,,,,,,,,,,,,
Ameathirika yule,,,,,,,,,,,,,,,,,
Ameathirika yule,,,,,,,,,,,,,,,,,
Akaunti nneno la kizungu.,Ukenda banki wasemaje? Nnafungua?,Akaunti yangu.,Neno la kizungu mshaliswahilisha.,Kabsaa.,Yapo maneno ambayo mmeyaswahilisha wenyewe (at other respondents). Apartments sijui kwa kiswahili zaitwaje.,,,,,,,,,,,,
"Kutenda, kufanya",Kutenda ni jambo,Kufanya pia ni jambo,Mtenda na mtendaji,"Mtendaji ni anaye mtendea mwenziwe, anayemtendea mwenziwe jambo lolote lile","Jambo baya, jambo zuri",,,,,,,,,,,,
Awadhi ni mtangazaji mzuri.,,,,,,,,,,,,,,,,,
Tumekubaliana,Tumekubaliana ntampa mtoto wangu,"Tamam, ntafurahi kunipa","Ah, nawewe sikupi",Tena nimekurikodi,"Nimekurii Awadh, huruki hapo",,,,,,,,,,,,
Yule bwana apenda kutekekesha,Apenda kutekesha,Yule bwana apenda kutekesha watu,,,,,,,,,,,,,,,
Hatutumii neno hilo,"Pumbao, yule mjamaa amepumbaa sana",Amepumbaa sana,Yule jamaa linzubaa wewe,Linzubaa,,,,,,,,,,,,,
Mnyama,Saa nyengine twaita hayawani,"Hayawani ni kiarabu sio, na ni Kiswahili pia","Kama jamaa akiwa anadungadunga watu
Visu, twaweza kukwambia, Yule bwana hayawani sana, ni mnyama sana","Yule mjamaa ni hayawani sana, tabia zake ni
za kihayawani",Zaidi ni hayawani,,,,,,,,,,,,
Ni jibu,Natarajia majibu mimi,,,,,,,,,,,,,,,,
Nina chombo changu kiko baharini bwana,,,,,,,,,,,,,,,,,
Hiyo hiyo ruhusa,Mke wangu hawezi kutoka bila ya ruhusa yangu,,,,,,,,,,,,,,,,
Makubaliano,"Zaidi ni makubaliano, tumekubaliana",Tunshakubaliana,"Mara ya pili, yanshapita",,,,,,,,,,,,,,
Art ni kizungu,"Sanaa, Msanii, tumeonyeshwa sanaa ndani Fort Jesus",,,,,,,,,,,,,,,,
Wavamizi,Watu wamevamia shamba la watu,"Huyu ni mvamizi, Wamevamia vitu vyetu vya Mombasa vyote",Huyu amenivamia,,,,,,,,,,,,,,
"Jaribio, hutumika sana jaribu",Shani yuwajaribu kuvua,Si mvuvi lakini yuwajaribu kuvua,,,,,,,,,,,,,,,
"Twatumia kwa neno jengine, makini",Kuwa muangalifu,Kuwa makini,Umakinifu,,,,,,,,,,,,,,
"Enhe, latumika enhe",Msichana yule yuwavutia kweli,Msichana mzuri sana,,,,,,,,,,,,,,,
Cheo,Abasi ana cheo kikubwa kazini kwake bwana,Ana mamlaka makubwa,"Malmaka ni, mamlaka ni hima mamlaka",Ukipawa mamlaka ni lazima uyatekeleze,Mamlaka ni magumu,uyatekeleze,,,,,,,,,,,
Nyuma ni nyuma tu,Gari yangu yarudi nyuma,"Oh, gari ndiyo inarudi nyuma",,,,,,,,,,,,,,,
"Baki, maanake kilichobakia",Naomba baki yangu,Tunaweza kusema chenji,Tunaweza kusema nipe baki yangu iliyobakia,",
 Nipe chenji yangu",Kwa sasa ni chenji yangu,Tunaweza sema pia nipe baki yangu,,,,,,,,,,,
Mizani si ya kupimia,Sukari yapimwa na mizani,Au zungumza maneno kwa mizani sio ujizumzie tu,"Zungumza maneno
 kwa mizani","Kwa kupima, sio ujitupie tu","Mprange, kibarawa hicho",Nenda Tanzania,Asili iko Lamu,"Enda Lamu sema
 mprange",Ni kama hapa ukimwambia mtu twenda kubaua hatajua kwenda kubauwa ni nini,Mtaro,Ni kitu kuanzisha jengo ni lasima utie msingi mwanzo,"Msingi ni kitu ambacho kina, ni cha kusimamisha",Kianzilio cha kusimamisha,Famili yako lazima uweke msingi mzuri,Wawahili wasema nyumba ni msingi,"Hata mtoto 
 pia wampatia msingi wa elmu","Mtoto wampatia elmu, ndio msingi wake"
Tabiya ni tabiya tu,Tabia si sura ni tabia,,,,,,,,,,,,,,,,
Huyu bwana ana imani sana,Huruma,"Imani ni kuamini, huruma ni huruma","Imani ni kuamini; mimi nna imani
 na Mungu","Mimi nina huruma, huyu namhurumia",Iman ni huruma,Yule amuonea mtoto imani,,,,,,,,,,,
Kuzaliwa ni kuzaliwa,Mtoto alizaliwa mwaka jana,Mtoto huyu alizaliwa mwaka jana,,,,,,,,,,,,,,,
Kipande ni kitu kidogo,Ni kama kitu kama nusu kwa nusu,"Mimi nimemkatia huyu kipande katika ardhi yangu, katikati,                                                                            nusu kwa nusu","Ni kipande, chochote","Iwe ni nusu, iwe ni robo","Nimemkatia kipande halati wangu, nimemkatia
 kipande cha mkate,
 Kiasi ni kama hiyo kipande",Kiasi kikubwa au kidogo,kula kwa kiasi…Maneno yako ni ya kiasi,Chakula cha leo kidogo sana,,,,,,,,,
Kuuma chakula au kuuma ulimi,Kuuma yani nkung’ata yaani,Kutafuna,"Yule mtoto amemuuma mwenzake,
 Yule ameumwa na mbwa yule…",,,,,,,,,,,,,,
Damu ni damu,Waswahili wasema damu ni nzito kuliko maji,Mimi nahusiana na huyu ki damu,,Damu moja hawa,,,,,,,,,,,,,
Kuna kupigwa,Jamaa amfiwa na mkewe bwana ampata pigo kubwa sana,,,,,,,,,,,,,,,,
Mwili wangu leo waniuma,Ama kiwiliwili change leo sijisikii vizuri,,,,,,,,,,,,,,,,
Shaba ile ya madini si ndio,Shaba ni madini,Ni ileile shaba,Shabaha…Yule mjamaa ana shaba kweli,Twatumia kwa kufupisha,Shabaha ni kulenga lakini shaba ni madini,,"Kama ni sahani, kama ni vikombe, kuna vitu tungu nzima shaba  yatengeza","Bangili nini, vyote vina shaba",,,,,,,,,
Mkate,"Sana sana utaskia, kanunue boflo",kanunue boflo pale,,,,,,,,,,,,,,,
Pumzi ni pumzi,ni hewa,Binadamu wote wavuta pumzi,Nimeshikika bwana hata kupumua kumenishinda,"Dada
 ametwambia hapa ameshikwa na korona hata akashindwa na kupumua",,,,,,,,,,,,,
Sana twatumia ndugu,Huyu bwana ndugu yangu,"Huyu ndugu yangu, huyu n",Kuna kaka la kibiriti,,Hili kaka la yai,,,,,,,,,,,,
Jumba ni kubwa,"Hili jumba, loo, ni jumba la zamani kweli",,,,,,,,,,,,,,,,
Choma ni kuchoma,Choma ya kuchoma si ndio,kama ule mti umechomeka,"Kuna sehemu nyengine wanasema mimi bwana
 nimechomwa na mwiba ambapo sisi husema nimedungwa na mwiba…Wengine wanasema maneno yake yamenichoma
 sana…",,,,,,,,,,,,,,
"Pasua, kupasua",Kurarua karatasi,Kurarua na kupasua ntofauti,Ule mti nimeuangusha sasa napasua mbao,Vitabu vile vya zamani mimi nimeviraruararua tu,Ule mpira umepasuka,,,,,,,,,,,,
Biashara ni biashara,Bwana mimi nimefungua biashara yangu mpya ya kuuza mikate,Biashara yangu ya kuuza viatu,,,,,,,,,,,,,,,
Siagi ni ile ya kupaka kwenye mkate,Siagi ni ya kupaka kwenye mkate yatokana na maziwa,Kizungu ni butter,Mkate nimeupaka siagi,,,,,,,,,,,,,,
Tonobari ni canvas la kwenye gari,"Ni tonobari ile ya tent, Gari ina tunubari nzuri sana","Mzigo una tonobari usije
 ukanyeshewa, tonobari ile intobokatoboka",,,,,,,,,,,,,,,
"Jali, kujali",Huyu bradhangu yuwanijali sana,,,,,,,,,,,,,,,,
"Sababu, twatumia hiyohiyo sababu lakini katika sentensi",Kila kitu kina sababu yake,"Yule ni sababu yake, yule ameendelea sababu ni yeye",,,,,,,,,,,,,,,
Chaki ni ile ya kuandikia ile,"Chalk, hilo bado ni neno la kizungu","Chaki ni Kiswahili, chalk ni kizungu",Mwalimu atumia chaki kutuandikia darasani,,,,,,,,,,,,,,
Nafasi ni wadhifa,Nafasi yangu hii,Ana wadhifa katika sehemu fulani,"Ana wadhifa mkubwa, kazi kubwa yaani",,Awadhi wadhifa wake ni mkubwa kazini kwao,Nafasi pia yatumika kiuwezo,Huyu bwana ana nafasi yake,,Nafasi yake nzuri,"Maanake ana uwezo
  
 Bahati ni hivyohivyo","Huyu jamaa ana bahati bwana, akifanya kitu kinakua sawa",Kila anachokijaribu kinakuwa,,,,,
Mabadiliko ni mabadiliko,Mabadiliko ni kubadilisha,Kubadilika kwa kitu,"Mke wangu ambadilika sana,
 tabia zimebadilika, yaweza kuwa hata mavazi yake yamebadilika",Yaani ni kitu ambacho hakikua vile kilvyokua,Mabadiliko yametokea,"Ni kama vile Arsenali afungwe kasha atie wachezaji wengine halafu jamaa akwambie, angalia
 mabadiliko yale",,,,,,,,,,,
"Kitambaa, kitambara, nguo zashonwa na kitambara",,,,,,,,,,,,,,,,,
Tunatumia kwa kupikia,Makaa ni mazuri kwa kupikia kuliko gesi,,,,,,,,,,,,,,,,
"Rangi, paint",Hii fulana hii iko na rangi nzuri sana,,Mimi nimeipenda iko na rangi yake nzuri,,,,,,,,,,,,,,
Faraja ni jamaa amepata afwan,"Alikuwa na tabu saa hii amepata faraja bwana,k ana afadhali",Starehe ni kustarehe,Starehe nkama kupenda raha,Kupenda raha ndio starehe,"Awadh anapesa bwana siku hizi
 anastarehe kwelikweli","Amesahau shida sasa, starehe tu",,,,,,,,,,,
Hii ndio kamati ya shule,,,,,,,,,,,,,,,,,
Hii kampuni yangu,Huu muungano wetu,,,,,,,,,,,,,,,,
Huwezi mlinganisha Mbatia na mimi,tuko tofauti kabisa,"Hatulingani, hata ukijaribu, hata vidole havilingani, tena
 vyako vitano lakini havilingani",,,,,,,,,,,,,,,
Mashindano ni kushindana…,,,,,,,,,,,,,,,,,
Yuko hali mbaya,,,,,,,,,,,,,,,,,
Kila siku mwalalamika,,,,,,,,,,,,,,,,,
Mimi nahusiana na Mbatia,,,,,,,,,,,,,,,,,
Lile gari naweza kulidhibiti,,,,,,,,,,,,,,,,,
Leo nakohowa sana,,,,,,,,,,,,,,,,,
Kenya ni nchi yangu,,,,,,,,,,,,,,,,,
Kila siku tunafinika gari na tonobari,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Nenda kulipa deni,,,,,,,,,,,,,,,,,
Yule bwana ni mhalifu,,,,,,,,,,,,,,,,,
Mimi nimepeleka mahindi yangu yakasagwe,,,,,,,,,,,,,,,,,
Yule mtoto unga ameukanda,Amevurujua/anvurujuwa kila kitu,Antawanyatawanya,,,,,,,,,,,,,,,
Nimeamua kumuozesha binti yangu,Nnaamuwa,,,,,,,,,,,,,,,,
Mtoto wangu amepata shahada,,,,,,,,,,,,,,,,,
Ni mchoraji mzuri zana wa nyumba,"Yule kwa kuunda kiti, kwa kuunda jahazi ni namba moja",,,,,,,,,,,,,,,,
Natamani kukaa na familia yangu,,,,,,,,,,,,,,,,,
Upepo watoka upande huu,,,,,,,,,,,,,,,,,
Yule ni mvumbuzi wa magari,,,,,,,,,,,,,,,,,
Yule ana maradhi mabaya,,,,,,,,,,,,,,,,,
"Yule mtoto nimemtukia tabia yake, Nnamtukia",,,,,,,,,,,,,,,,,
"Kwetu ni mbali, ni masafa",,,,,,,,,,,,,,,,,
Kumegawanywa madawa,kung'awanywa madawa,,,,,,,,,,,,,,,,
Wamegawanyika kikabila,,,,,,,,,,,,,,,,,
"Yule tumemshuku kuwa ni jambazi, Twamshuku",,,,,,,,,,,,,,,,,
Dunia duara,,,,,,,,,,,,,,,,,
Lori imemwaga mthanga,,,,,,,,,,,,,,,,,
Mbio za sakafuni huishia ukingoni,,,,,,,,,,,,,,,,,
Mti ule una maua mazuri,Ua lile zuri,,,,,,,,,,,,,,,,
Samaki mkundhe angali mbiti,,,,,,,,,,,,,,,,,
Dhahabu ni pambo la mwanamke,Pambo la bibi harusi,,,,,,,,,,,,,,,,
Tumpanda nyasi,,,,,,,,,,,,,,,,,
Mimi leo nlikua forodhani,Nenda kuangalia ile meli forodhani kama imetia nanga bandarini,,,,,,,,,,,,,,,,
Auza barafu,,,,,,,,,,,,,,,,,
Piga teke mpira,,,,,,,,,,,,,,,,,
Mimi yule mzee namheshimu nimembusu mkono,,,,,,,,,,,,,,,,,
Ana ujuzi sana,,,,,,,,,,,,,,,,,
Yule ameanguka mpaka tini.,,,,,,,,,,,,,,,,,
Biashara ina hasara,,,,,,,,,,,,,,,,,
Yule mtoto ana mahaba na wazazi wake.,,,,,,,,,,,,,,,,,
Mtambo wa kusaga unga,,,,,,,,,,,,,,,,,
Mwanamume yule ni hodari,,,,,,,,,,,,,,,,,
Meneja yule ni mzuri,,,,,,,,,,,,,,,,,
Mbuzi nimwatia alama,,,,,,,,,,,,,,,,,
Soko lile ni zuri,,,,,,,,,,,,,,,,,
Kuna halaiki ya watu. Kuna umati wa watu. Raila amepata umati mkubwa wa watu. Amepata uma wa watu.,,,,,,,,,,,,,,,,,
Tunkwenda mgodini kutimba mawe,,,,,,,,,,,,,,,,,
Fesal athakwenda dakika hii,,,,,,,,,,,,,,,,,
Ametumiya pesa nyingi ,,,,,,,,,,,,,,,,,
Mwezi huu ni wa kumi na mbili,,,,,,,,,,,,,,,,,
Tutaonana asubuhi,,,,,,,,,,,,,,,,,
Yule mamangu,,,,,,,,,,,,,,,,,
Panga lile lina n'tha kali.,,,,,,,,,,,,,,,,,
Mthezaji mzuri yule,,,,,,,,,,,,,,,,,
Madhumuni yake yule ni mabaya,Tuna madhumuni ya kwenda,Nnafanya jambo kwa sababu fulani,,,,,,,,,,,,,,,
Kule thini kuna mahamali wengi,,,,,,,,,,,,,,,,,
Hebu nng’arishiye viatu vyangu,,,,,,,,,,,,,,,,,
Mthele ule ni mzuri,Mthele ule ukipika wali wake ni mthamu sana,,,,,,,,,,,,,,,,
Lori hii imekuja na mtanga,Mtoto mchanga,,,,,,,,,,,,,,,,
"Ameazirika, Ni izara hii, Ameaibika",,,,,,,,,,,,,,,,,
Nyumba ile invundwa jana,,,,,,,,,,,,,,,,,
Yule mama adondoa mtele,,,,,,,,,,,,,,,,,
Hebu nletee hicho kitana nitane,Nyele za huyu ni ngumu zataka shanuo,,,,,,,,,,,,,,,,
Utanisaidiya  kupiga nguo pasi?,,,,,,,,,,,,,,,,,
Mlango wao una nakshi nzuri,,,,,,,,,,,,,,,,,
Nyumba yao ina dari ya boriti kama nyumba za kizamani,,,,,,,,,,,,,,,,,
Kasha hili limerithiwa vizazi vitatu sasa,,,,,,,,,,,,,,,,,
Tamu ya chai n'sukari,,,,,,,,,,,,,,,,,
Mto huu hauna foronya,,,,,,,,,,,,,,,,,
Mwana huyu n'kikojozi,,,,,,,,,,,,,,,,,
Mwanamke huyu asharengwa,,,,,,,,,,,,,,,,,
Naona ampiswa mapema,,,,,,,,,,,,,,,,,
Fatuma apenda kujitwika mambo,,,,,,,,,,,,,,,,,
Nguvu Mwambasa huyo ashaingia,,,,,,,,,,,,,,,,,
Kila wendapo wanaandamana kama kijibwa na Bwanshero,,,,,,,,,,,,,,,,,
Mbona ankuwa makhuluku tabu? ,,,,,,,,,,,,,,,,,
Ilibidi Ali aishalikishaliki ile nyumba kabla hajaingia,,,,,,,,,,,,,,,,,
Mwana huyu ankuwa na mdomo mrefu,,,,,,,,,,,,,,,,,
Ukitamba sana huondoka na mavi,,,,,,,,,,,,,,,,,
Ungakaanga bisi tu tini ya gae,Ungakaanga bisi tu chini ya gae,,,,,,,,,,,,,,,,
Kenda nkaribu na kumi,,,,,,,,,,,,,,,,,
Wakati ni kama upanga,Usipoukata utakukata,,,,,,,,,,,,,,,,
Nakatika maini kwa alivonitenda,,,,,,,,,,,,,,,,,
Alimtukana hakumbakisha,Maji ya Makka hayamuoshi,,,,,,,,,,,,,,,,
Ukimaliza kula weka vyombo karoni,,,,,,,,,,,,,,,,,
Mwanamali mzima amvizwa kweli kweli,Hata kuosha vyombo hajui,,,,,,,,,,,,,,,,
Huyu amviya sana,Hana awezalo,,,,,,,,,,,,,,,,
Ana mshipa huo ukimshika hata kuinuwa mguu hawezi),,,,,,,,,,,,,,,,,
Bagahadi ni dawa nzuri sana ya hijabu,,,,,,,,,,,,,,,,,
"Ukitaka kutenda jambo, fikiriya mwisho wake",,,,,,,,,,,,,,,,,
"Haikuwa bamba, itakuwa kuti",,,,,,,,,,,,,,,,,
Amina ni mtoto mtukutu sana,,,,,,,,,,,,,,,,,
Kazi hii yataka mtu mwenye makini/mmakinifu,,,,,,,,,,,,,,,,,
Ana aibu sana kwa sababu afundira chakula,,,,,,,,,,,,,,,,,
E mwana humalizi kula? ,Wala watiya puani?,,,,,,,,,,,,,,,,
Akata tonge ka kitwa cha paka,,,,,,,,,,,,,,,,,
Mwanzo wa ngoma n'lele,,,,,,,,,,,,,,,,,
Ndio mwanzo mkoko waalika mauwa,,,,,,,,,,,,,,,,,
Huyu mtu ng'ombe sana,,,,,,,,,,,,,,,,,
Mbona ajitiya hamnazo?,,,,,,,,,,,,,,,,,
Ya Mngu mmengi/ni mengi,,,,,,,,,,,,,,,,,
Bidii ya mja haipingi kudura,,,,,,,,,,,,,,,,,
Yaliyo Pemba na Unguja yako,,,,,,,,,,,,,,,,,
Huyu hatowi chake,Ana mkono wa buli,,,,,,,,,,,,,,,,
Mgumu! Cha Jinja hachendi Entebe,,,,,,,,,,,,,,,,,
Mwana kilizi ka nini /kamani/kama nini,,,,,,,,,,,,,,,,,
Waso haya wana miji yao,,,,,,,,,,,,,,,,,
Mwanamke n'jiko,,,,,,,,,,,,,,,,,
Samaki akitapikia nyongo huwa yu utungu,,,,,,,,,,,,,,,,,
Vishindo vyote nyumba ya kupangisha,,,,,,,,,,,,,,,,,
Hakunitopoa,,,,,,,,,,,,,,,,,
Nlimuangalia maji juu mtele chini,,,,,,,,,,,,,,,,,
Huyu si mwanamke ni mke si mume,,,,,,,,,,,,,,,,,
Janajike hili lina vitimvi/vitimbi,,,,,,,,,,,,,,,,,
Si mume ni mdondowa ndume,,,,,,,,,,,,,,,,,
Usiombe kuolewa na mume kinuka mto,,,,,,,,,,,,,,,,,
Mwanamume huyu aoa akiwata tu,Ashafikisha cheo cha tatu sasa,,,,,,,,,,,,,,,,
Leso hii imparara na ni fuo la kwanza tu,,,,,,,,,,,,,,,,,
Ankonda ka/kama ng'onda,,,,,,,,,,,,,,,,,
Nnajiwa na pandikizi la mtu,,,,,,,,,,,,,,,,,
Jito limemtoka pima,,,,,,,,,,,,,,,,,
Ana jito kaa glopu,,,,,,,,,,,,,,,,,
Usituletee mbwembwe zako hapa,,,,,,,,,,,,,,,,,
Mwanasiti anjazajaza siku hizi,,,,,,,,,,,,,,,,,
ankonda mpaka shingo inamtoka,,,,,,,,,,,,,,,,,
Tumbo kubwa kama pakacha,,,,,,,,,,,,,,,,,
Hadiriki nyumbani huyu,Ankula miguu ya kuku,,,,,,,,,,,,,,,,
Mkewe kirango sana.,,,,,,,,,,,,,,,,,
Pepo ampungwa akatowa jina,,,,,,,,,,,,,,,,,
Ankuwa pepo antanguliya mzuka,,,,,,,,,,,,,,,,,
Ansema sana ulimi unkuwa tambara,,,,,,,,,,,,,,,,,
Mashallah ampata mke mzuri wa kumtuliza,,,,,,,,,,,,,,,,,
Huyu ni mpangu pakavu ntilie mtuzi,,,,,,,,,,,,,,,,,
Bure pwani,,,,,,,,,,,,,,,,,
Bure i ghali,,,,,,,,,,,,,,,,,
Apenda sana vya bwerere,,,,,,,,,,,,,,,,,
Aringa kweli kweli,,,,,,,,,,,,,,,,,
Punguza bei kidogo,,,,,,,,,,,,,,,,,
Mwana huyu heshi kuuguwa kama aloombwa,,,,,,,,,,,,,,,,,
Wa sitara hasumbuki,,,,,,,,,,,,,,,,,
Tangu forodhani kufungwe hakuna tena uvuvi wa haja Mombasa,,,,,,,,,,,,,,,,,
Mombasa raha imekuwa karaha,,,,,,,,,,,,,,,,,
Msonge nyele vizuri,,,,,,,,,,,,,,,,,
Mbundikebundike huna haja ya kumsonga kilimanjaro kama kawaida,,,,,,,,,,,,,,,,,
Sina wakati wa kufunguwa nyele nazipiga kitana tu,,,,,,,,,,,,,,,,,
Usimlaumu dobi kaniki ni maumbile,,,,,,,,,,,,,,,,,
Nguo imbembana kama kifumbu,,,,,,,,,,,,,,,,,
Apenda sukari kaa tungu,,,,,,,,,,,,,,,,,
Ana mashikio makubwa kaa ndovu,,,,,,,,,,,,,,,,,
Unshaanguka/ushaanguka,Sasa jizoezoe uinuke,,,,,,,,,,,,,,,,
Kuinamako ndiko kuinukako,,,,,,,,,,,,,,,,,
Wangojwa uje ujieleze ,,,,,,,,,,,,,,,,,
Mwenye mashikio atasikiya na mwenye mato ataona,,,,,,,,,,,,,,,,,
Aendelee kunikimbiya tu lakini nikimtiya mkononi atakula vikoto,,,,,,,,,,,,,,,,,
Mtu mwema ni mwenye kusaidiya wenzake,,,,,,,,,,,,,,,,,
Shikio likipita kitwa n'la sungura hukatwa,,,,,,,,,,,,,,,,,
Mali ya bakhili huliwa n'dudu,,,,,,,,,,,,,,,,,
Yu juu juu kama ninga,,,,,,,,,,,,,,,,,
Uonao m si mato,,,,,,,,,,,,,,,,,
Ukipita mtihani utapata zawadi,,,,,,,,,,,,,,,,,
Aliowa mke mkuu,,,,,,,,,,,,,,,,,
Atafta kazi kwa udi na uvumba,,,,,,,,,,,,,,,,,
Kilio huliya mwenye na mtu mbali kaliya,,,,,,,,,,,,,,,,,
Asema ka upatu wa gingi,,,,,,,,,,,,,,,,,
Mtu n'nduguye,,,,,,,,,,,,,,,,,
Kiuno kama bunzi,,,,,,,,,,,,,,,,,
Guu lake lina mvungu (not flat),,,,,,,,,,,,,,,,,
Alifungasha virago vyakes akenda,,,,,,,,,,,,,,,,,
Moyo ni moyo wa vyema,,,,,,,,,,,,,,,,,
Mwezi umeandama kesho twaanza kufunga,,,,,,,,,,,,,,,,,
Kidole kimoja havivundi tawa,,,,,,,,,,,,,,,,,
Tangu apate ajali goti halishi kumuuma,,,,,,,,,,,,,,,,,
Leta/lete buli tuchemshie chai,,,,,,,,,,,,,,,,,
Nyumba hufita siri nyengi/nyingi,,,,,,,,,,,,,,,,,
Kia cha mlango kimeharibika,,,,,,,,,,,,,,,,,
Mlango huu hauna bawaba,,,,,,,,,,,,,,,,,
Mamu ankuwa chambo heshi kutumiwa kutegea watu,,,,,,,,,,,,,,,,,
Bendera hufuata upepo,,,,,,,,,,,,,,,,,
Mfupi ka nyundo,,,,,,,,,,,,,,,,,
Ana mkono mwepesi kwa kupiga,,,,,,,,,,,,,,,,,
Nyumbani kwetu kuna mlango mkubwa,,,,,,,,,,,,,,,,,
Pazia za Isilii zadumu kuliko za Mombasa,,,,,,,,,,,,,,,,,
Juzi nilinunua vikombe vya sini,,,,,,,,,,,,,,,,,
Ukiingia nyumbani kumbuka kuufunga mlango,,,,,,,,,,,,,,,,,
Ana simu  kubwa kama/ka buku,,,,,,,,,,,,,,,,,
Kwa nini huzitani nyele zako kwa shanuo hili?,,,,,,,,,,,,,,,,,
Kesho kutwa twamuweka bi harusi wetu kitini,,,,,,,,,,,,,,,,,
Dalili ya mvuwa ni mawingu,,,,,,,,,,,,,,,,,
Siku hizi kuna makanisa kadhaa mtaani kwetu,,,,,,,,,,,,,,,,,
Bado mdogo hata kidevu hakijamea ndevu,,,,,,,,,,,,,,,,,
Paka akitoka panya hutawala,,,,,,,,,,,,,,,,,
Katika mitezo ya karata napenda sana wahed sitini,,,,,,,,,,,,,,,,,
Tangu kuja kwa simu ya mkononi watu hawanunui sana kamera,,,,,,,,,,,,,,,,,
Bekri yao ina keki nzuri,,,,,,,,,,,,,,,,,
Nashona ukosi cha shati langu,,,,,,,,,,,,,,,,,
Unshanunua glopu mpya?,,,,,,,,,,,,,,,,,
Lile kochi ulonipa nimelieeka kwenye balkoni,,,,,,,,,,,,,,,,,
Watoto wale ni patha za nde.,,,,,,,,,,,,,,,,,
Mke wake hapitwi na harusi,,,,,,,,,,,,,,,,,
Kutanguliya si kufika,,,,,,,,,,,,,,,,,
Mfunze mwanayo kuhusu akiba kwa kumfunguliya akaunti ya benki,,,,,,,,,,,,,,,,,
Nyumba injaa vizingiti sishi kuteguka,,,,,,,,,,,,,,,,,
Kuteleza si kuanguka,,,,,,,,,,,,,,,,,
Nletee hilo tambara la kupigiya deki,,,,,,,,,,,,,,,,,
Daktari antwambiya tukadungwe sindano,,,,,,,,,,,,,,,,,
Mtu akiwa na mimba na akipata Korona inakuwa kwake ni thaqili sana,,,,,,,,,,,,,,,,,
Mwanathi mvundathi,,,,,,,,,,,,,,,,,
Mla kuku wa mwenziwe maguu yamlekele,,,,,,,,,,,,,,,,,
Antezea mlango mpaka akajifyanda chanda/kidole,,,,,,,,,,,,,,,,,
Kingiyacho mjini si haramu,,,,,,,,,,,,,,,,,
Safisha kile kiti,,,,,,,,,,,,,,,,,
Mwanahamisi fungua mlango,,,,,,,,,,,,,,,,,
